ElapsedTime,PacketLossRate
0.000,0.9965
0.000,0.9926
0.017,0.9884
0.034,0.9842
0.059,0.9801
0.067,0.9759
0.081,0.9740
0.094,0.9699
0.110,0.9657
0.124,0.9615
0.136,0.9573
0.150,0.9532
0.165,0.9490
0.178,0.9448
0.192,0.9406
0.206,0.9365
0.224,0.9323
0.237,0.9284
0.251,0.9242
0.261,0.9200
0.276,0.9158
0.290,0.9119
0.302,0.9077
0.319,0.9035
0.331,0.8994
0.344,0.8952
0.359,0.8910
0.373,0.8869
0.386,0.8829
0.400,0.8787
0.414,0.8748
0.429,0.8709
0.441,0.8669
0.459,0.8630
0.469,0.8588
0.483,0.8549
0.497,0.8509
0.511,0.8470
0.526,0.8428
0.538,0.8389
0.554,0.8349
0.572,0.8307
0.594,0.8268
0.608,0.8229
0.622,0.8194
0.636,0.8154
0.650,0.8113
0.664,0.8071
0.681,0.8029
0.691,0.7987
0.705,0.7948
0.720,0.7911
0.734,0.7869
0.747,0.7827
0.760,0.7788
0.775,0.7749
0.788,0.7709
0.802,0.7672
0.819,0.7633
0.831,0.7591
0.843,0.7549
0.857,0.7512
0.872,0.7473
0.885,0.7438
0.899,0.7399
0.914,0.7359
0.927,0.7320
0.942,0.7278
0.955,0.7243
0.971,0.7201
0.983,0.7162
0.996,0.7123
1.010,0.7083
1.025,0.7046
1.041,0.7009
1.075,0.6970
1.094,0.6933
1.107,0.6891
1.122,0.6851
1.135,0.6812
1.150,0.6775
1.163,0.6735
1.176,0.6703
1.192,0.6666
1.207,0.6624
1.218,0.6589
1.232,0.6555
1.247,0.6515
1.260,0.6478
1.275,0.6443
1.290,0.6404
1.302,0.6364
1.315,0.6330
1.331,0.6293
1.344,0.6258
1.359,0.6225
1.374,0.6191
1.385,0.6153
1.398,0.6116
1.413,0.6077
1.429,0.6042
1.440,0.6005
1.455,0.5963
1.470,0.5926
1.484,0.5887
1.500,0.5850
1.525,0.5815
1.538,0.5776
1.552,0.5738
1.567,0.5706
1.594,0.5669
1.608,0.5636
1.621,0.5599
1.636,0.5560
1.650,0.5523
1.683,0.5483
1.706,0.5444
1.718,0.5412
1.733,0.5377
1.747,0.5340
1.760,0.5307
1.775,0.5270
1.789,0.5238
1.803,0.5196
1.815,0.5159
1.830,0.5122
1.844,0.5096
1.872,0.5057
1.886,0.5020
1.914,0.4980
1.928,0.4946
1.941,0.4908
1.955,0.4871
1.969,0.4830
1.999,0.4792
2.025,0.4753
2.038,0.4716
2.053,0.4681
2.080,0.4639
2.093,0.4609
2.108,0.4572
2.123,0.4535
2.150,0.4498
2.163,0.4459
2.176,0.4419
2.191,0.4380
2.205,0.4345
2.233,0.4308
2.246,0.4273
2.260,0.4236
2.273,0.4199
2.288,0.4162
2.302,0.4122
2.315,0.4088
2.329,0.4046
2.343,0.4018
2.357,0.3981
2.371,0.3949
2.385,0.3911
2.398,0.3872
2.414,0.3835
2.426,0.3800
2.441,0.3763
2.454,0.3724
2.468,0.3687
2.483,0.3652
2.496,0.3615
2.510,0.3578
2.524,0.3545
2.537,0.3510
2.551,0.3473
2.580,0.3436
2.597,0.3408
2.626,0.3374
2.649,0.3339
2.677,0.3304
2.691,0.3274
2.706,0.3244
2.718,0.3211
2.734,0.3176
2.761,0.3137
2.789,0.3107
2.802,0.3067
2.830,0.3040
2.843,0.2998
2.854,0.2958
2.870,0.2926
2.884,0.2894
2.897,0.2863
2.910,0.2836
2.925,0.2801
2.938,0.2764
2.953,0.2727
2.967,0.2692
2.988,0.2657
3.001,0.2618
3.017,0.2578
3.033,0.2539
3.048,0.2502
3.065,0.2472
3.079,0.2430
3.093,0.2395
3.111,0.2358
3.127,0.2321
3.144,0.2286
3.162,0.2256
3.175,0.2230
3.195,0.2191
3.207,0.2154
3.221,0.2126
3.237,0.2096
3.249,0.2061
3.264,0.2024
3.276,0.1982
3.292,0.1943
3.305,0.1908
3.321,0.1873
3.338,0.1839
3.352,0.1802
3.366,0.1771
3.387,0.1746
3.400,0.1716
3.414,0.1676
3.428,0.1639
3.446,0.1614
3.457,0.1593
3.471,0.1563
3.488,0.1528
3.504,0.1502
3.521,0.1479
3.532,0.1456
3.542,0.1440
3.557,0.1419
3.571,0.1405
3.585,0.1377
3.604,0.1349
3.621,0.1310
3.636,0.1268
3.649,0.1227
3.661,0.1185
3.674,0.1145
3.688,0.1108
3.702,0.1069
3.717,0.1027
3.730,0.0992
3.745,0.0955
3.765,0.0925
3.782,0.0886
3.795,0.0851
3.814,0.0812
3.829,0.0770
3.844,0.0730
3.854,0.0698
3.870,0.0661
3.888,0.0642
3.902,0.0631
3.918,0.0617
3.931,0.0607
3.941,0.0603
3.950,0.0596
3.965,0.0596
3.977,0.0582
3.994,0.0582
4.005,0.0582
4.023,0.0577
4.033,0.0573
4.048,0.0573
4.061,0.0573
4.074,0.0566
4.091,0.0554
4.105,0.0550
4.117,0.0543
4.131,0.0540
4.146,0.0540
4.159,0.0540
4.172,0.0540
4.187,0.0529
4.202,0.0529
4.215,0.0526
4.229,0.0524
4.242,0.0489
4.257,0.0480
4.272,0.0480
4.283,0.0445
4.299,0.0410
4.320,0.0387
4.336,0.0387
4.349,0.0387
4.357,0.0387
4.366,0.0387
4.381,0.0387
4.394,0.0385
4.409,0.0380
4.423,0.0376
4.437,0.0376
4.450,0.0373
4.464,0.0373
4.477,0.0373
4.492,0.0373
4.506,0.0373
4.519,0.0369
4.534,0.0364
4.548,0.0362
