ElapsedTime,PacketLossRate
0.000,0.9898
0.000,0.9794
0.025,0.9691
0.048,0.9667
0.058,0.9667
0.070,0.9623
0.085,0.9572
0.100,0.9572
0.112,0.9572
0.125,0.9572
0.139,0.9565
0.153,0.9565
0.167,0.9532
0.187,0.9438
0.214,0.9438
0.222,0.9438
0.237,0.9438
0.250,0.9392
0.266,0.9290
0.284,0.9275
0.293,0.9275
0.306,0.9275
0.319,0.9275
0.333,0.9275
0.347,0.9275
0.361,0.9275
0.375,0.9256
0.390,0.9203
0.407,0.9203
0.417,0.9203
0.431,0.9203
0.444,0.9195
0.459,0.9195
0.473,0.9175
0.489,0.9097
0.506,0.9065
0.517,0.9065
0.528,0.9065
0.542,0.9065
0.556,0.9065
0.570,0.9065
0.583,0.9004
0.603,0.8930
0.616,0.8925
0.625,0.8925
0.639,0.8925
0.653,0.8925
0.667,0.8925
0.680,0.8900
0.697,0.8796
0.718,0.8707
0.744,0.8652
0.752,0.8650
0.763,0.8650
0.778,0.8650
0.792,0.8557
0.811,0.8455
0.824,0.8404
0.836,0.8368
0.849,0.8368
0.860,0.8368
0.875,0.8368
0.889,0.8368
0.902,0.8368
0.917,0.8368
0.930,0.8368
0.944,0.8368
0.958,0.8368
0.973,0.8368
0.986,0.8351
1.001,0.8247
1.021,0.8143
1.034,0.8039
1.046,0.7938
1.060,0.7838
1.096,0.7838
1.111,0.7838
1.124,0.7838
1.139,0.7838
1.152,0.7838
1.167,0.7838
1.180,0.7838
1.194,0.7838
1.208,0.7836
1.222,0.7751
1.241,0.7649
1.256,0.7550
1.273,0.7497
1.295,0.7497
1.305,0.7497
1.318,0.7497
1.334,0.7497
1.347,0.7497
1.360,0.7497
1.375,0.7497
1.389,0.7497
1.402,0.7463
1.418,0.7368
1.437,0.7264
1.464,0.7162
1.490,0.7064
1.504,0.7003
1.516,0.6967
1.528,0.6967
1.540,0.6967
1.554,0.6967
1.568,0.6967
1.582,0.6967
1.597,0.6967
1.610,0.6967
1.623,0.6967
1.638,0.6967
1.652,0.6920
1.669,0.6823
1.686,0.6806
1.695,0.6806
1.707,0.6757
1.724,0.6662
1.760,0.6562
1.782,0.6462
1.797,0.6433
1.819,0.6433
1.832,0.6433
1.846,0.6433
1.859,0.6433
1.874,0.6433
1.889,0.6433
1.901,0.6433
1.915,0.6354
1.934,0.6270
1.949,0.6176
1.963,0.6096
1.991,0.6007
2.018,0.6000
2.026,0.6000
2.039,0.6000
2.054,0.6000
2.068,0.6000
2.082,0.6000
2.096,0.6000
2.110,0.6000
2.123,0.6000
2.138,0.5990
2.153,0.5894
2.170,0.5797
2.183,0.5727
2.196,0.5727
2.208,0.5727
2.221,0.5630
2.239,0.5574
2.251,0.5570
2.263,0.5570
2.277,0.5570
2.291,0.5570
2.305,0.5570
2.319,0.5570
2.333,0.5570
2.339,0.5570
2.346,0.5570
2.357,0.5570
2.372,0.5570
2.386,0.5562
2.399,0.5562
2.413,0.5562
2.427,0.5504
2.444,0.5473
2.456,0.5473
2.469,0.5473
2.482,0.5473
2.497,0.5473
2.510,0.5473
2.524,0.5473
2.539,0.5473
2.552,0.5473
2.566,0.5473
2.580,0.5439
2.596,0.5384
2.611,0.5384
2.622,0.5384
2.636,0.5284
2.654,0.5180
2.669,0.5095
2.684,0.5093
2.695,0.5093
2.705,0.5093
2.719,0.5093
2.732,0.5047
2.749,0.5002
2.762,0.5002
2.774,0.5002
2.788,0.5002
2.802,0.5002
2.816,0.5002
2.830,0.5002
2.843,0.5002
2.858,0.4992
2.872,0.4992
2.886,0.4992
2.899,0.4992
2.913,0.4992
2.927,0.4992
2.941,0.4892
2.960,0.4788
2.973,0.4729
2.985,0.4697
2.998,0.4697
3.011,0.4697
3.024,0.4697
3.038,0.4697
3.052,0.4695
3.066,0.4693
3.083,0.4684
3.098,0.4678
3.126,0.4678
3.131,0.4678
3.138,0.4676
3.150,0.4572
3.168,0.4468
3.182,0.4364
3.196,0.4296
3.210,0.4296
3.219,0.4296
3.233,0.4296
3.247,0.4262
3.262,0.4241
3.275,0.4241
3.288,0.4241
3.302,0.4226
3.317,0.4226
3.330,0.4218
3.356,0.4114
3.373,0.4010
3.388,0.3908
3.402,0.3849
3.414,0.3847
3.423,0.3847
3.438,0.3847
3.451,0.3845
3.466,0.3845
3.479,0.3843
3.494,0.3841
3.508,0.3841
3.521,0.3841
3.535,0.3841
3.549,0.3807
3.564,0.3707
3.585,0.3603
3.599,0.3516
3.612,0.3487
3.622,0.3487
3.632,0.3487
3.646,0.3487
3.660,0.3404
3.678,0.3302
3.695,0.3220
3.721,0.3220
3.729,0.3220
3.742,0.3220
3.757,0.3220
3.771,0.3220
3.785,0.3220
3.801,0.3205
3.817,0.3205
3.827,0.3205
3.841,0.3205
3.855,0.3154
3.872,0.3063
3.889,0.2969
3.903,0.2893
3.915,0.2866
3.930,0.2866
3.939,0.2866
3.953,0.2866
3.967,0.2847
3.982,0.2847
3.995,0.2847
4.009,0.2847
4.022,0.2847
4.036,0.2847
4.050,0.2847
4.064,0.2847
4.079,0.2821
4.096,0.2772
4.110,0.2743
4.122,0.2732
4.136,0.2732
4.148,0.2732
4.161,0.2717
4.178,0.2664
4.198,0.2660
4.218,0.2649
4.232,0.2649
4.245,0.2649
4.259,0.2649
4.273,0.2649
4.287,0.2649
4.300,0.2643
4.315,0.2643
4.333,0.2643
4.342,0.2643
4.356,0.2643
4.370,0.2643
4.384,0.2643
4.398,0.2643
4.412,0.2643
4.426,0.2643
4.439,0.2643
4.454,0.2643
4.468,0.2624
4.482,0.2522
4.501,0.2505
4.511,0.2499
4.523,0.2499
4.537,0.2499
4.551,0.2499
4.565,0.2499
4.579,0.2440
4.597,0.2340
4.614,0.2317
4.637,0.2317
4.662,0.2317
4.676,0.2315
4.690,0.2276
4.706,0.2223
4.723,0.2128
4.757,0.2105
4.774,0.2105
4.787,0.2086
4.801,0.2026
4.818,0.2016
4.832,0.2007
4.844,0.2001
4.856,0.2001
4.870,0.2001
4.884,0.1999
4.898,0.1999
4.912,0.1999
4.926,0.1999
4.939,0.1999
4.954,0.1999
4.968,0.1999
4.981,0.1999
4.996,0.1973
5.012,0.1950
5.027,0.1950
5.040,0.1950
5.051,0.1950
5.065,0.1950
5.079,0.1950
5.094,0.1867
5.111,0.1791
5.124,0.1763
5.150,0.1763
5.161,0.1763
5.176,0.1763
5.190,0.1763
5.205,0.1742
5.219,0.1691
5.234,0.1683
5.246,0.1683
5.259,0.1683
5.273,0.1683
5.287,0.1681
5.301,0.1677
5.315,0.1670
5.330,0.1611
5.346,0.1583
5.373,0.1583
5.384,0.1583
5.398,0.1579
5.413,0.1571
5.426,0.1499
5.443,0.1439
5.472,0.1439
5.495,0.1435
5.509,0.1433
5.523,0.1433
5.530,0.1433
5.538,0.1433
5.552,0.1433
5.566,0.1433
5.579,0.1433
5.594,0.1433
5.608,0.1431
5.621,0.1424
5.636,0.1424
5.649,0.1424
5.663,0.1424
5.677,0.1424
5.691,0.1424
5.705,0.1424
5.719,0.1418
5.734,0.1414
5.748,0.1414
5.760,0.1414
5.774,0.1414
5.788,0.1414
5.802,0.1414
5.816,0.1403
5.830,0.1376
5.845,0.1323
5.862,0.1320
5.880,0.1320
5.891,0.1320
5.899,0.1320
5.913,0.1318
5.927,0.1312
5.941,0.1312
5.955,0.1312
5.969,0.1312
5.982,0.1312
5.996,0.1312
6.010,0.1312
6.024,0.1310
6.039,0.1265
6.055,0.1229
6.072,0.1227
6.084,0.1227
6.095,0.1227
6.108,0.1223
6.121,0.1221
6.136,0.1221
6.150,0.1221
6.163,0.1221
6.177,0.1221
6.191,0.1221
6.204,0.1221
6.219,0.1221
6.233,0.1221
6.247,0.1221
6.260,0.1221
6.274,0.1221
6.288,0.1221
6.302,0.1221
6.316,0.1214
6.332,0.1212
6.346,0.1212
6.357,0.1212
6.372,0.1212
6.384,0.1212
6.399,0.1212
6.413,0.1212
6.428,0.1212
6.441,0.1212
6.455,0.1212
6.469,0.1212
6.482,0.1212
6.496,0.1212
6.510,0.1212
6.536,0.1138
6.553,0.1132
6.577,0.1123
6.590,0.1123
6.604,0.1123
6.618,0.1117
6.633,0.1098
6.646,0.1096
6.659,0.1079
6.675,0.1041
6.689,0.1020
6.705,0.1020
6.729,0.1017
6.743,0.1009
6.757,0.0952
6.773,0.0890
6.787,0.0852
6.803,0.0852
6.826,0.0852
6.841,0.0852
6.854,0.0852
6.868,0.0852
6.881,0.0852
6.896,0.0852
6.909,0.0852
6.923,0.0852
6.937,0.0848
6.952,0.0825
6.966,0.0812
6.980,0.0812
6.994,0.0767
7.009,0.0767
7.035,0.0727
7.053,0.0706
7.068,0.0689
7.091,0.0685
7.104,0.0685
7.118,0.0685
7.132,0.0682
7.146,0.0657
7.161,0.0553
7.193,0.0538
7.202,0.0538
7.216,0.0538
7.231,0.0538
7.243,0.0536
7.257,0.0524
7.272,0.0519
7.300,0.0519
7.313,0.0519
7.327,0.0519
7.340,0.0519
7.355,0.0515
7.369,0.0513
7.382,0.0504
7.397,0.0502
7.410,0.0502
7.424,0.0502
7.438,0.0502
7.452,0.0502
7.466,0.0502
7.479,0.0502
7.493,0.0502
7.507,0.0502
7.526,0.0502
7.537,0.0502
7.549,0.0502
7.563,0.0466
7.579,0.0398
7.595,0.0384
7.619,0.0384
7.636,0.0384
7.649,0.0384
7.655,0.0384
7.662,0.0367
7.677,0.0343
7.691,0.0337
7.704,0.0337
7.718,0.0337
7.732,0.0337
7.746,0.0337
7.760,0.0337
7.774,0.0322
7.789,0.0284
7.804,0.0271
7.817,0.0271
7.837,0.0271
7.844,0.0271
7.857,0.0271
7.871,0.0271
7.885,0.0263
7.899,0.0250
7.914,0.0250
7.927,0.0250
7.940,0.0250
7.955,0.0250
7.968,0.0250
7.982,0.0250
7.996,0.0250
8.010,0.0248
8.024,0.0248
8.038,0.0248
8.052,0.0246
8.066,0.0240
8.079,0.0225
8.095,0.0218
8.113,0.0218
8.120,0.0216
8.136,0.0216
8.149,0.0216
8.162,0.0212
8.177,0.0161
8.195,0.0125
8.210,0.0125
8.223,0.0125
8.242,0.0125
8.247,0.0125
8.259,0.0125
8.274,0.0123
8.288,0.0121
8.302,0.0121
8.316,0.0114
8.330,0.0112
8.343,0.0112
8.357,0.0112
8.371,0.0112
8.385,0.0112
8.399,0.0106
8.413,0.0106
8.427,0.0106
8.440,0.0106
8.454,0.0106
8.468,0.0106
8.482,0.0106
8.496,0.0106
8.510,0.0104
8.524,0.0100
8.538,0.0100
8.552,0.0100
8.566,0.0100
8.579,0.0100
8.594,0.0100
8.608,0.0089
8.622,0.0087
8.636,0.0081
8.649,0.0081
8.674,0.0076
8.689,0.0076
8.701,0.0076
8.715,0.0068
8.730,0.0057
8.744,0.0057
8.756,0.0057
8.770,0.0057
8.784,0.0057
8.799,0.0055
8.813,0.0055
8.827,0.0055
8.840,0.0055
8.854,0.0055
8.868,0.0055
8.881,0.0055
8.896,0.0055
8.910,0.0055
8.923,0.0055
8.938,0.0055
8.951,0.0055
8.965,0.0055
8.979,0.0055
8.993,0.0053
9.010,0.0053
9.020,0.0051
9.035,0.0049
9.048,0.0049
9.062,0.0049
9.076,0.0049
9.090,0.0049
9.104,0.0049
9.118,0.0049
9.132,0.0049
9.146,0.0047
9.159,0.0047
9.174,0.0047
9.187,0.0045
9.201,0.0042
9.216,0.0042
9.230,0.0042
9.243,0.0042
9.257,0.0042
9.271,0.0042
9.285,0.0042
9.299,0.0042
9.313,0.0042
9.327,0.0042
9.340,0.0042
9.355,0.0042
9.369,0.0042
9.382,0.0042
9.396,0.0042
9.410,0.0040
9.424,0.0040
9.441,0.0040
9.452,0.0040
9.466,0.0040
9.479,0.0040
9.494,0.0040
9.508,0.0040
9.521,0.0040
9.536,0.0040
9.549,0.0040
9.563,0.0040
9.577,0.0040
9.591,0.0040
9.604,0.0040
9.619,0.0040
9.633,0.0040
9.647,0.0040
9.660,0.0038
9.675,0.0038
9.689,0.0038
9.702,0.0038
9.716,0.0036
9.731,0.0036
9.744,0.0036
9.758,0.0036
9.772,0.0036
9.786,0.0036
9.800,0.0036
9.814,0.0036
9.828,0.0036
9.841,0.0036
9.855,0.0036
9.870,0.0036
9.883,0.0036
9.897,0.0034
9.912,0.0028
9.925,0.0028
9.942,0.0028
9.953,0.0028
9.966,0.0028
9.980,0.0028
9.994,0.0028
10.008,0.0028
10.022,0.0028
10.036,0.0028
10.050,0.0028
10.064,0.0028
10.078,0.0028
10.092,0.0028
10.106,0.0028
10.119,0.0028
10.134,0.0028
10.147,0.0028
10.161,0.0028
10.175,0.0028
10.189,0.0028
10.203,0.0028
10.217,0.0025
10.231,0.0025
10.244,0.0025
10.259,0.0025
10.273,0.0025
10.287,0.0025
10.300,0.0025
10.315,0.0025
10.329,0.0025
10.342,0.0025
10.356,0.0025
10.370,0.0025
10.384,0.0025
10.398,0.0025
10.412,0.0025
10.426,0.0025
10.439,0.0025
10.454,0.0025
10.468,0.0025
10.481,0.0025
10.495,0.0025
10.509,0.0025
10.523,0.0025
10.537,0.0025
10.551,0.0025
10.564,0.0025
10.579,0.0025
10.593,0.0025
10.607,0.0025
10.620,0.0025
10.635,0.0025
10.648,0.0025
10.662,0.0025
10.676,0.0025
10.690,0.0025
10.704,0.0025
10.718,0.0025
10.732,0.0025
10.745,0.0025
10.760,0.0025
10.774,0.0025
10.788,0.0025
10.801,0.0025
10.815,0.0025
10.829,0.0025
10.843,0.0025
10.857,0.0025
10.871,0.0025
10.884,0.0025
10.899,0.0025
10.913,0.0025
10.926,0.0025
10.940,0.0025
10.955,0.0025
10.969,0.0025
10.982,0.0025
10.997,0.0025
11.011,0.0025
11.023,0.0025
11.038,0.0025
11.052,0.0025
11.065,0.0025
11.080,0.0025
11.094,0.0025
11.107,0.0025
11.121,0.0025
11.136,0.0025
11.149,0.0025
11.162,0.0025
11.176,0.0025
11.190,0.0025
11.204,0.0025
11.218,0.0025
11.232,0.0025
11.245,0.0025
11.260,0.0025
11.273,0.0025
11.287,0.0025
11.301,0.0025
11.315,0.0025
11.329,0.0025
11.343,0.0025
11.357,0.0025
11.371,0.0025
11.385,0.0025
11.399,0.0025
11.413,0.0025
11.427,0.0025
11.440,0.0025
11.454,0.0025
11.469,0.0025
11.482,0.0025
11.496,0.0025
11.511,0.0025
11.523,0.0025
11.538,0.0025
11.552,0.0025
11.566,0.0025
11.579,0.0025
11.594,0.0025
11.608,0.0025
11.621,0.0025
11.636,0.0025
11.650,0.0025
11.663,0.0025
11.678,0.0025
11.691,0.0025
11.704,0.0025
11.719,0.0025
11.733,0.0025
11.747,0.0025
